Headers;Contents
Art. 223. Czynna napaść na funkcjonariusza publicznego lub osobę do pomocy mu przybraną;"§ 1. Kto, działając wspólnie i w porozumieniu z inną osobą lub używając broni palnej, noża lub innego podobnie niebezpiecznego przedmiotu albo środka obezwładniającego, dopuszcza się czynnej napaści na funkcjonariusza publicznego lub osobę do pomocy mu przybraną podczas lub w związku z pełnieniem obowiązków służbowych,
podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Jeżeli w wyniku czynnej napaści nastąpił skutek w postaci ciężkiego uszczerbku na zdrowiu funkcjonariusza publicznego lub osoby do pomocy mu przybranej, sprawca
podlega karze pozbawienia wolności od lat 2 do 15."
Art. 223a. Publiczne nawoływanie do udostępnienia informacji dotyczących życia prywatnego funkcjonariusza publicznego;"§ 1. Kto publicznie nawołuje do udostępnienia informacji dotyczących życia prywatnego funkcjonariusza organu powołanego do ochrony bezpieczeństwa publicznego albo funkcjonariusza Służby Więziennej, których udostępnienie może spowodować zagrożenie bezpieczeństwa tego funkcjonariusza lub osoby dla niego najbliższej,
podlega karze pozbawienia wolności do lat 3.
§ 2. Tej samej karze podlega sprawca czynu określonego w § 1 popełnionego na szkodę byłego funkcjonariusza publicznego, o którym mowa w § 1, jeżeli czyn ten pozostaje w związku z zadaniami z zakresu ochrony bezpieczeństwa publicznego lub zadaniami Służby Więziennej, które pokrzywdzony wykonywał."
Art. 223b. Udostępnianie informacji dotyczących życia prywatnego funkcjonariusza publicznego bez jego zgody;"§ 1. Kto bez zgody funkcjonariusza organu powołanego do ochrony bezpieczeństwa publicznego albo funkcjonariusza Służby Więziennej, udostępnia innej osobie informacje dotyczące jego życia prywatnego, których udostępnienie może spowodować zagrożenie bezpieczeństwa tego funkcjonariusza lub osoby dla niego najbliższej,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Tej samej karze podlega sprawca czynu określonego w § 1, popełnionego na szkodę byłego funkcjonariusza publicznego, o którym mowa w § 1, jeżeli czyn ten pozostaje w związku z zadaniami z zakresu ochrony bezpieczeństwa publicznego lub zadaniami Służby Więziennej, które pokrzywdzony wykonywał.
§ 3. Jeżeli udostępnienie informacji przez sprawcę czynu określonego w § 1 lub 2 następuje przez ich publiczne rozpowszechnienie, sprawca
podlega karze pozbawienia wolności od 6 miesięcy do lat 8."
Art. 224. Wymuszanie czynności urzędowych;"§ 1. Kto przemocą lub groźbą bezprawną wywiera wpływ na czynności urzędowe organu administracji rządowej, innego organu państwowego lub samorządu terytorialnego,
podlega karze pozbawienia wolności do lat 3.
§ 2. Tej samej karze podlega, kto stosuje przemoc lub groźbę bezprawną w celu zmuszenia funkcjonariusza publicznego albo osoby do pomocy mu przybranej do przedsięwzięcia lub zaniechania prawnej czynności służbowej.
§ 3. Jeżeli następstwem czynu określonego w § 2 jest skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub w art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1, sprawca
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 224a. Fałszywe zawiadomienie o zagrożeniu;"§ 1. Kto wiedząc, że zagrożenie nie istnieje, zawiadamia o zdarzeniu, które zagraża życiu lub zdrowiu wielu osób lub mieniu w znacznych rozmiarach lub stwarza sytuację, mającą wywołać przekonanie o istnieniu takiego zagrożenia, czym wywołuje czynność instytucji użyteczności publicznej lub organu ochrony bezpieczeństwa, porządku publicznego lub zdrowia mającą na celu uchylenie zagrożenia,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Jeżeli sprawca czynu określonego w § 1 zawiadamia o więcej niż jednym zdarzeniu,
podlega karze pozbawienia wolności od lat 2 do 15."
Art. 224b. Nawiązka i świadczenie pieniężne orzekane w razie skazania za fałszywe zawiadomienie o zagrożeniu;"W razie skazania za przestępstwo określone w art. 224a fałszywe zawiadomienie o zagrożeniu sąd orzeka:
1) nawiązkę na rzecz Skarbu Państwa w wysokości co najmniej 10 000 zł oraz
2) świadczenie pieniężne wymienione w art. 39 katalog środków karnych pkt 7 w wysokości co najmniej 10 000 zł."
Art. 225. Zakłócanie kontroli przeprowadzanej w zakresie ochrony środowiska i inspekcji pracy;"§ 1. Kto osobie uprawnionej do przeprowadzania kontroli w zakresie ochrony środowiska lub osobie przybranej jej do pomocy udaremnia lub utrudnia wykonanie czynności służbowej,
podlega karze pozbawienia wolności do lat 3.
§ 2. Tej samej karze podlega, kto osobie uprawnionej do kontroli w zakresie inspekcji pracy lub osobie przybranej jej do pomocy udaremnia lub utrudnia wykonanie czynności służbowej.
§ 3. (uchylony)
§ 4. Tej samej karze podlega, kto osobie upoważnionej do przeprowadzania czynności w zakresie nadzoru i kontroli w jednostkach organizacyjnych pomocy społecznej lub w placówkach zapewniających całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku udaremnia lub utrudnia wykonanie czynności służbowych."
Art. 226. Znieważenie funkcjonariusza publicznego lub organu konstytucyjnego RP;"§ 1. Kto znieważa funkcjonariusza publicznego lub osobę do pomocy mu przybraną, podczas i w związku z pełnieniem obowiązków służbowych,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 2. Przepis art. 222 naruszenie nietykalności cielesnej funkcjonariusza publicznego lub osoby do pomocy mu przybranej § 2 stosuje się odpowiednio.
§ 3. Kto publicznie znieważa lub poniża konstytucyjny organ Rzeczypospolitej Polskiej,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 227. Przywłaszczenie funkcji funkcjonariusza publicznego;"Kto, podając się za funkcjonariusza publicznego albo wyzyskując błędne przeświadczenie o tym innej osoby, wykonuje czynność związaną z jego funkcją,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku."
Art. 228. Sprzedajność pełniącego funkcję publiczną;"§ 1. Kto, w związku z pełnieniem funkcji publicznej, przyjmuje korzyść majątkową lub osobistą albo jej obietnicę,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. W wypadku mniejszej wagi, sprawca
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 3. Kto, w związku z pełnieniem funkcji publicznej, przyjmuje korzyść majątkową lub osobistą albo jej obietnicę za zachowanie stanowiące naruszenie przepisów prawa,
podlega karze pozbawienia wolności od roku do lat 10.
§ 4. Karze określonej w § 3 podlega także ten, kto, w związku z pełnieniem funkcji publicznej, uzależnia wykonanie czynności służbowej od otrzymania korzyści majątkowej lub osobistej albo jej obietnicy lub takiej korzyści żąda.
§ 5. Kto, w związku z pełnieniem funkcji publicznej, przyjmuje korzyść majątkową znacznej wartości albo jej obietnicę,
podlega karze pozbawienia wolności od lat 2 do 15.
§ 5a. Kto, w związku z pełnieniem funkcji publicznej, przyjmuje korzyść majątkową wielkiej wartości albo jej obietnicę,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 6. Karom określonym w § 1–5a podlega odpowiednio także ten, kto, w związku z pełnieniem funkcji publicznej w państwie obcym lub w organizacji międzynarodowej, przyjmuje korzyść majątkową lub osobistą albo jej obietnicę lub takiej korzyści żąda, albo uzależnia wykonanie czynności służbowej od jej otrzymania."
Art. 229. Przekupstwo;"§ 1. Kto udziela albo obiecuje udzielić korzyści majątkowej lub osobistej osobie pełniącej funkcję publiczną w związku z pełnieniem tej funkcji,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. W wypadku mniejszej wagi, sprawca
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 3. Jeżeli sprawca czynu określonego w § 1 działa, aby skłonić osobę pełniącą funkcję publiczną do naruszenia przepisów prawa lub udziela albo obiecuje udzielić takiej osobie korzyści majątkowej lub osobistej za naruszenie przepisów prawa,
podlega karze pozbawienia wolności od roku do lat 10.
§ 4. Kto osobie pełniącej funkcję publiczną, w związku z pełnieniem tej funkcji, udziela albo obiecuje udzielić korzyści majątkowej znacznej wartości,
podlega karze pozbawienia wolności od lat 2 do 15.
§ 4a. Kto osobie pełniącej funkcję publiczną, w związku z pełnieniem tej funkcji, udziela albo obiecuje udzielić korzyści majątkowej wielkiej wartości,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 5. Karom określonym w § 1–4a podlega odpowiednio także ten, kto udziela albo obiecuje udzielić korzyści majątkowej lub osobistej osobie pełniącej funkcję publiczną w państwie obcym lub w organizacji międzynarodowej, w związku z pełnieniem tej funkcji.
§ 6. Nie podlega karze sprawca przestępstwa określonego w § 1-5, jeżeli korzyść majątkowa lub osobista albo ich obietnica zostały przyjęte przez osobę pełniącą funkcję publiczną, a sprawca zawiadomił o tym fakcie organ powołany do ścigania przestępstw i ujawnił wszystkie istotne okoliczności przestępstwa, zanim organ ten o nim się dowiedział."
Art. 230. Płatna protekcja bierna;"§ 1. Kto, w zamian za korzyść majątkową lub osobistą albo jej obietnicę, podejmuje się pośrednictwa w załatwieniu sprawy, powołując się na wpływy, wywołując u innej osoby przekonanie o istnieniu wpływów, wykorzystując takie przekonanie lub utwierdzając ją w przekonaniu o istnieniu wpływów w:
1) instytucji państwowej lub samorządowej,
2) organizacji krajowej lub międzynarodowej,
3) krajowej lub zagranicznej jednostce organizacyjnej dysponującej środkami publicznymi,
4) przedsiębiorstwie państwowym,
5) spółce handlowej z udziałem Skarbu Państwa, samorządu terytorialnego lub państwowej osoby prawnej,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. W wypadku mniejszej wagi, sprawca
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 230a. Płatna protekcja czynna;"§ 1. Kto udziela albo obiecuje udzielić korzyści majątkowej lub osobistej w zamian za pośrednictwo w załatwieniu sprawy w podmiocie wskazanym w art. 230 płatna protekcja bierna § 1, polegające na bezprawnym wywarciu wpływu na decyzję, działanie lub zaniechanie osoby pełniącej funkcję publiczną, w związku z pełnieniem tej funkcji,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. W wypadku mniejszej wagi, sprawca
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 3. Nie podlega karze sprawca przestępstwa określonego w § 1 albo w § 2, jeżeli korzyść majątkowa lub osobista albo ich obietnica zostały przyjęte, a sprawca zawiadomił o tym fakcie organ powołany do ścigania przestępstw i ujawnił wszystkie istotne okoliczności przestępstwa, zanim organ ten o nim się dowiedział."
Art. 231. Nadużycie uprawnień przez funkcjonariusza publicznego;"§ 1. Funkcjonariusz publiczny, który, przekraczając swoje uprawnienia lub nie dopełniając obowiązków, działa na szkodę interesu publicznego lub prywatnego,
podlega karze pozbawienia wolności do lat 3.
§ 2. Jeżeli sprawca dopuszcza się czynu określonego w § 1 w celu osiągnięcia korzyści majątkowej lub osobistej,
podlega karze pozbawienia wolności od roku do lat 10.
§ 3. Jeżeli sprawca czynu określonego w § 1 działa nieumyślnie i wyrządza istotną szkodę,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 4. Przepisu § 2 nie stosuje się, jeżeli czyn wyczerpuje znamiona czynu zabronionego określonego w art. 228 sprzedajność pełniącego funkcję publiczną."
Art. 231a. Ochrona prawna funkcjonariusza publicznego;Z ochrony prawnej przewidzianej dla funkcjonariuszy publicznych podczas lub w związku z pełnieniem obowiązków służbowych funkcjonariusz publiczny korzysta również wtedy, jeżeli bezprawny zamach na jego osobę został podjęty z powodu wykonywanego przez niego zawodu lub zajmowanego stanowiska.
Art. 231b. Ochrona prawna osoby działającej w obronie koniecznej;"§ 1. Osoba, która w obronie koniecznej odpiera zamach na jakiekolwiek cudze dobro chronione prawem, chroniąc bezpieczeństwo lub porządek publiczny, korzysta z ochrony prawnej przewidzianej dla funkcjonariuszy publicznych.
§ 2. Przepisu § 1 nie stosuje się, jeżeli czyn sprawcy zamachu skierowany przeciwko osobie odpierającej zamach godzi wyłącznie w cześć lub godność tej osoby."
Art. 232. Wywieranie wpływu na czynności sądu;"§ 1. Kto przemocą lub groźbą bezprawną wywiera wpływ na czynności urzędowe sądu,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Tej samej karze podlega sprawca przestępstwa określonego w § 1, popełnionego na szkodę międzynarodowego trybunału karnego lub jego organu działającego na podstawie umowy międzynarodowej, której Rzeczpospolita Polska jest stroną, albo powołanego przez organizację międzynarodową ukonstytuowaną umową ratyfikowaną przez Rzeczpospolitą Polską."
Art. 233. Fałszywe zeznania;"§ 1. Kto, składając zeznanie mające służyć za dowód w postępowaniu sądowym lub w innym postępowaniu prowadzonym na podstawie ustawy, zeznaje nieprawdę lub zataja prawdę,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 1a. Jeżeli sprawca czynu określonego w § 1 zeznaje nieprawdę lub zataja prawdę z obawy przed odpowiedzialnością karną grożącą jemu samemu lub jego najbliższym,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Warunkiem odpowiedzialności jest, aby przyjmujący zeznanie, działając w zakresie swoich uprawnień, uprzedził zeznającego o odpowiedzialności karnej za fałszywe zeznanie lub odebrał od niego przyrzeczenie.
§ 3. Nie podlega karze za czyn określony w § 1a, kto składa fałszywe zeznanie, nie wiedząc o prawie odmowy zeznania lub odpowiedzi na pytania.
§ 4. Kto, jako biegły, rzeczoznawca lub tłumacz, przedstawia fałszywą opinię, ekspertyzę lub tłumaczenie mające służyć za dowód w postępowaniu określonym w § 1,
podlega karze pozbawienia wolności od roku do lat 10.
§ 4a. Jeżeli sprawca czynu określonego w § 4 działa nieumyślnie, narażając na istotną szkodę interes publiczny,
podlega karze pozbawienia wolności do lat 3.
§ 5. Sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia, jeżeli:
1) fałszywe zeznanie, opinia, ekspertyza lub tłumaczenie dotyczy okoliczności niemogących mieć wpływu na rozstrzygnięcie sprawy,
2) sprawca dobrowolnie sprostuje fałszywe zeznanie, opinię, ekspertyzę lub tłumaczenie, zanim nastąpi, chociażby nieprawomocne, rozstrzygnięcie sprawy.
§ 6. Przepisy § 1-3 oraz 5 stosuje się odpowiednio do osoby, która składa fałszywe oświadczenie, jeżeli przepis ustawy przewiduje możliwość odebrania oświadczenia pod rygorem odpowiedzialności karnej."
Art. 234. Fałszywe oskarżenie;"Kto, przed organem powołanym do ścigania lub orzekania w sprawach o przestępstwo, w tym i przestępstwo skarbowe, wykroczenie, wykroczenie skarbowe lub przewinienie dyscyplinarne, fałszywie oskarża inną osobę o popełnienie tych czynów zabronionych lub przewinienia dyscyplinarnego,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
